Municipality,Latitude,Longitude
Schwanden,46.99541,9.0701
Schwändi,47.44795,8.78595
Sool,47.00072,9.08605
Baar,47.19625,8.52954
Cham,49.22565,12.65501
Hünenberg,47.17536,8.42497
Menzingen,47.17764,8.59215
Neuheim,47.20192,8.58053
Oberägeri,47.13614,8.6144
Risch,47.13351,8.46514
Steinhausen,47.1951,8.48581
Unterägeri,47.13645,8.5853
Walchwil,47.10169,8.51693
Zug,47.17242,8.51745
Autavaux,46.86661,6.87821
Bollion,46.81924,6.82796
Bussy-le-Repos,48.05,3.23333
Châbles,46.82451,6.81078
Châtillon,48.8024,2.29346
Cheiry,46.75038,6.83553
Cheyres,46.81439,6.78685
Cugy,46.81479,6.88888
Domdidier,46.86716,7.01337
Dompierre-sur-Helpe,50.1424,3.8636
Estavayer-le-Lac,46.84876,6.8465
Fétigny,46.44182,5.60011
Font,46.83748,6.82209
Forel,46.72887,6.82374
Gletterens,46.89489,6.93689
Léchelles,46.82896,7.01621
Lully,46.28462,6.41695
Ménières,46.78268,6.88014
Montagny,45.62801,4.74778
Montbrelloz,46.85478,6.88759
Morens,46.84364,6.90697
Murist,46.79025,6.80708
Nuvilly,46.78336,6.82778
Prévondavaux,46.72963,6.79561
Rueyres,46.69337,6.69213
Russy,49.33229,-0.82083
Saint,10.91667,38.65
Seiry,46.81407,6.83127
Sévaz,46.83985,6.87703
Surpierre,46.74612,6.85929
Vallon-Pont-d'Arc,44.40685,4.39374
Villeneuve-sur-Lot,44.40854,0.70415
Vuissens,46.73342,6.76625
Les,42.81076,0.7105
Delley,46.91196,6.96915
Auboranges,46.58463,6.80445
Billens,46.69218,6.9008
Chapelle-sur-Moudon,46.66961,6.73575
Le,-0.87467,34.48015
Châtonnaye,46.75452,6.93799
Écublens,46.52899,6.56261
Esmonts,46.64325,6.84512
Grangettes-près-Romont,46.67825,6.96256
Massonnens,46.69822,6.97396
Mézières,46.67958,6.9263
Montet,45.75249,7.0318
Romont,46.69652,6.91898
Butembo,0.14164,29.29117
Siviriez,46.65852,6.87774
Ursy,46.6334,6.83474
Villaz,45.95127,6.19447
Vuarmarens,46.64776,6.82867
Vuisternens-en-Ogoz,46.70815,7.05398
Tornyi,7.36387,10.12188
La,11.73022,104.48683
Haut Banda,33.1617,71.44505
Pont-les-Moulins,47.31667,6.36667
Botterens,46.61598,7.11172
Broc,46.60513,7.09891
Bulle,46.61797,7.0569
Cerniat,46.63326,7.15733
Charmey,46.61957,7.16486
Châtel,46.26495,6.8403
Corbières-en-Provence,43.76102,5.75134
Crésuz,46.62056,7.14257
Echarlens,46.64778,7.0742
Grandvillard,46.53899,7.08575
Gruyères,46.58338,7.08207
Hauteville,46.67009,7.11041
Jaun,46.61131,7.27593
Marsens,46.65644,7.05948
Morlon,46.62563,7.08382
Le,-0.87467,34.48015
Pont-les-Moulins,47.31667,6.36667
Riaz,46.64224,7.06183
La,11.73022,104.48683
