,Municipality,Latitude,Longitude
613,Root,47.1153443,8.3911091
614,Schwarzenberg,47.4137551,9.852372
615,Udligenswil,47.091036,8.399689
616,Vitznau,47.0091184,8.4846569
617,Weggis,47.0322545,8.4346408
618,Beromünster,47.2076373,8.1924386
619,Büron,43.0244821,-5.0514632
620,Buttisholz,47.1139601,8.0935047
621,Eich,49.7492025,8.4022436
622,Geuensee,47.2002101,8.1095256
623,Grosswangen,47.1322635,8.0491183
624,Gunzwil,47.2116702,8.1800549
625,Hildisrieden,47.1513607,8.2266792
626,Knutwil,47.199397,8.070364
627,Mauensee,47.1684849,8.0670726
628,Neudorf,47.6054816,7.5696755
629,Neuenkirch,47.1002397,8.2029897
630,Nottwil,47.1378546,8.1318599
631,Oberkirch,48.5307122,8.0783998
632,Pfeffikon,47.2493755,8.1773499
633,Rickenbach (LU),47.221267,8.1535369
634,Ruswil,47.0839416,8.126227
635,Schenkon,47.177492,8.134902
636,Schlierbach,47.6828235,7.4057346
637,Sempach,47.1353737,8.1920262
638,Sursee,47.1740371,8.1089654
639,Triengen,47.2351967,8.0767478
640,Winikon,47.2360925,8.0511128
641,Wolhusen,47.0580138,8.0725617
642,Alberswil,47.1506183,8.0013407
643,Altbüron,47.1816,7.88263
644,Altishofen,47.200914,7.961177
645,Buchs (LU),47.2011534,8.0339752
646,Dagmersellen,47.2135668,7.9901132
647,Ebersecken,47.1829614,7.9316101
648,Egolzwil,47.1859718,8.0056254
649,Ettiswil,47.1483925,8.0150668
650,Fischbach,49.7462374,6.1866614
651,Gettnau,47.140551,7.969449
652,Grossdietwil,47.170687,7.887705
653,Hergiswil bei Willisau,47.0844337,7.9575516
654,Kottwil,47.162331,8.0449827
655,Langnau bei Reiden,47.2318707,7.9620803
656,Luthern,47.0589604,7.9169068
657,Menznau,47.0838106,8.040131
658,Nebikon,47.18965,7.973802
659,Ohmstal,47.164099,7.952664
660,Pfaffnau,47.2273716,7.8984229
661,Reiden,49.778049,5.891050888560612
662,Richenthal,47.2138787,7.9398223
663,Roggliswil,47.2111654,7.8827159
664,Schötz,47.1698443,7.9884821
665,Uffikon,47.2121434,8.0187638
666,Ufhusen,47.1166353,7.8955614
667,Wauwil,47.184353,8.026173
